	participant_id	session_id	dice_bet_probability	darq_probability	darq_pass	dice_hd_bet_probability	mutual_info	correlation_ratio	norm_mi	correlation_coef	cr_l1
29	sub-OASIS10183	ses-M00	0.9341578550515288	0.9995290040969848	True	0.9502332284029036	0.8097523477963938	0.7818333687322064	0.19529337668056024	0.6508928859344635	0.6611320656516011
30	sub-OASIS10184	ses-M00	0.887804524682924	0.9430350661277772	True	0.8967321878833421	0.800381907662935	0.7532727672392847	0.1935609450590099	0.572722382147202	0.6310516512268496
31	sub-OASIS10185	ses-M00	0.8625797568372645	0.9995123147964478	True	0.9251179305795963	0.8222800809071239	0.7260484429588381	0.19244567245455357	0.5508203969787776	0.6088212595174156
32	sub-OASIS10195	ses-M00	0.8929121799812646	0.999972939491272	True	0.899155935502029	0.7916190194806524	0.7277868675319971	0.18978148415994056	0.526709222855047	0.6164997359481863
33	sub-OASIS10199	ses-M00	0.8744216081487463	0.0009333023335784	False	0.8730588652903042	0.7052440613519866	0.6902411788617677	0.1716904967566939	0.46948915433271265	0.5785058590500581
34	sub-OASIS10207	ses-M00	0.9280249598676826	0.9996267557144164	True	0.9439131173180828	0.7874042824572615	0.7830174585311325	0.1919872447489872	0.6817905347807464	0.6636202635908963
35	sub-OASIS10218	ses-M00	0.9336935271288545	0.6778481602668762	True	0.9296497601025204	0.7746052031117899	0.7395965232708677	0.18615433966361294	0.5565467024439076	0.6343050750641184
36	sub-OASIS10222	ses-M00	0.7894055113849758	0.0226795766502618	False	0.7976855343866076	0.7672495666068051	0.6761441703765644	0.18196084453865824	0.32915696044477677	0.5625330226597691
37	sub-OASIS10223	ses-M00	0.8666818721828199	0.010198256932199	False	0.8786366191279164	0.7583306682791155	0.6738818853893573	0.17956456033936252	0.4301225821756701	0.5600960296680506
38	sub-OASIS10227	ses-M00	0.8259416864999687	0.0062509761191904	False	0.8268802635358632	0.7379449430530732	0.6764955765054023	0.17770423431513271	0.428012386795086	0.5613677378793429
39	sub-OASIS10260	ses-M00	0.9319002993554564	0.815026581287384	True	0.9470411698801184	0.8091267383735922	0.7607194352678672	0.1928854976951775	0.6005931769001926	0.6366373924550405
40	sub-OASIS10261	ses-M00	0.9006429737604562	0.8772182464599609	True	0.9017988103730544	0.735612072401467	0.7146263191817561	0.18059518023272414	0.5356904054285494	0.6022167922968037
41	sub-OASIS10266	ses-M00	0.93171413385345	0.9995631575584412	True	0.9475270079804412	0.7699746562752292	0.7494843730821608	0.18582982906616952	0.6468363803222397	0.6342198845318683
42	sub-OASIS10280	ses-M00	0.8698600041400621	0.9996472597122192	True	0.927354205147814	0.8711296745355147	0.7807708766788904	0.20519547911235092	0.602124431379868	0.6509807980799207
43	sub-OASIS10287	ses-M00	0.8829739601447956	0.8921666741371155	True	0.8912776683028383	0.8118811059154979	0.7593452986513767	0.19343190520014253	0.5527204333883821	0.6361307806728271
44	sub-OASIS10291	ses-M00	0.8244210043567989	0.0003162571520078	False	0.8657475634218351	0.7994326028663902	0.7221738521731127	0.19156952936972815	0.5362180133874286	0.599291831043606
45	sub-OASIS10294	ses-M00	0.945813971860081	0.9999732971191406	True	0.9577926360793388	0.8900209235744255	0.8386486309596073	0.21183280340787158	0.6923019349535215	0.7105019211241808
46	sub-OASIS10303	ses-M00	0.8995665150024035	0.9995392560958862	True	0.9198677132596338	0.8668055743030781	0.7916298011290765	0.20450643332782903	0.6408767445382707	0.6629992660408359
47	sub-OASIS10309	ses-M00	0.9030821739246494	0.9995883107185364	True	0.9077238059949694	0.8143093138311315	0.7622070908942317	0.19522243385805815	0.5865500589979158	0.6388997966432037
48	sub-OASIS10310	ses-M00	0.92872331872666	0.5941944718360901	True	0.9253770535585716	0.779945348371894	0.7455819266069583	0.1884897822052911	0.5216838261156245	0.6350238863635934
49	sub-OASIS10316	ses-M00	0.9190524316361244	0.0033312947489321	False	0.9273752939758886	0.7993921427184436	0.7452647913304293	0.189816681507319	0.5423194831516489	0.6274839416494011
50	sub-OASIS10318	ses-M00	0.9436388422575016	0.9999716281890868	True	0.9552842073591272	0.8452247291726315	0.8085000737605644	0.2017674799029383	0.6678714863280386	0.6826911611456563
51	sub-OASIS10323	ses-M00	0.9288630744932592	0.9178709387779236	True	0.937422530602002	0.8672133323028389	0.8186234199614697	0.20585335945226424	0.6837996349418225	0.6897799067642671
52	sub-OASIS10329	ses-M00	0.872064073766478	0.8571532964706421	True	0.9108640170811936	0.8390888095242762	0.7235633437533162	0.1943224462196822	0.5186771848715175	0.6060892716507229
53	sub-OASIS10333	ses-M00	0.9408254391204964	0.9999762773513794	True	0.9513375789936585	0.8240734718079138	0.7890850290956437	0.1971193405393521	0.7006070389094365	0.6668259781407273
54	sub-OASIS10342	ses-M00	0.8920538583159076	0.6321618556976318	True	0.9146126764908096	0.8331905872841531	0.7248850260061896	0.19310862709295007	0.5257928586321396	0.6040028804239492
